Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
EPX,Travel Agency,Online,Cancellation Plan,0,60,SINGAPORE,51.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,102,FAROE ISLANDS,29.7,17.82,None,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,SINGAPORE,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,MALAYSIA,10.0,0.0,None,64
C2B,Airlines,Online,Annual Silver Plan,0,369,SINGAPORE,252.85,63.21,M,40
JWT,Airlines,Online,Value Plan,0,11,INDIA,50.0,20.0,M,118
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,39,MALAYSIA,19.8,11.88,None,30
RAB,Airlines,Online,Value Plan,0,152,BRUNEI DARUSSALAM,23.0,9.2,None,63
EPX,Travel Agency,Online,Cancellation Plan,0,88,JAPAN,52.0,0.0,None,36
RAB,Airlines,Online,Value Plan,0,23,BRUNEI DARUSSALAM,15.0,6.0,M,53
JZI,Airlines,Online,Basic Plan,0,37,HONG KONG,35.0,12.25,F,44
EPX,Travel Agency,Online,Cancellation Plan,0,20,INDIA,37.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,MALAYSIA,19.8,11.88,None,68
EPX,Travel Agency,Online,Cancellation Plan,0,34,FINLAND,45.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,INDONESIA,26.0,0.0,None,55
JZI,Airlines,Online,Basic Plan,0,58,PHILIPPINES,30.0,10.5,F,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,88,CHINA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,SINGAPORE,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,42,INDONESIA,12.0,0.0,None,31
JZI,Airlines,Online,Basic Plan,0,6,HONG KONG,22.0,7.7,M,55
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,MALAYSIA,20.0,0.0,None,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,22,"KOREA, REPUBLIC OF",31.0,0.0,None,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,18,PORTUGAL,39.6,23.76,None,47
C2B,Airlines,Online,Bronze Plan,0,0,SINGAPORE,-14.4,3.6,M,49
C2B,Airlines,Online,Bronze Plan,0,20,SINGAPORE,19.2,4.8,F,30
EPX,Travel Agency,Online,Cancellation Plan,0,6,MALAYSIA,10.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,39,THAILAND,18.0,6.3,M,41
JWT,Airlines,Online,Value Plan,0,15,INDIA,60.0,24.0,M,118
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,MALAYSIA,24.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,22,MALAYSIA,29.7,17.82,None,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,45,THAILAND,28.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,1,SINGAPORE,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,16,THAILAND,10.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,22,SINGAPORE,18.5,4.63,F,32
EPX,Travel Agency,Online,Cancellation Plan,0,43,SPAIN,16.0,0.0,None,36
TST,Travel Agency,Offline,Travel Cruise Protect,0,72,MALAYSIA,30.0,10.5,M,22
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,AUSTRALIA,29.7,17.82,None,25
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,75,AUSTRALIA,39.6,23.76,None,29
JZI,Airlines,Online,Basic Plan,0,85,INDIA,35.0,12.25,M,33
JZI,Airlines,Online,Value Plan,0,46,JAPAN,45.0,15.75,M,48
EPX,Travel Agency,Online,Cancellation Plan,0,16,CANADA,80.0,0.0,None,41
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,INDONESIA,37.0,0.0,None,35
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,55,MALAYSIA,20.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,35,SINGAPORE,12.54,3.52,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,7,THAILAND,17.0,0.0,None,28
JZI,Airlines,Online,Basic Plan,0,10,INDONESIA,18.0,6.3,M,41
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,42,AUSTRALIA,138.6,83.16,None,58
EPX,Travel Agency,Online,Cancellation Plan,0,19,INDONESIA,13.0,0.0,None,29
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,13,INDIA,23.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,10,SINGAPORE,39.0,9.75,F,40
EPX,Travel Agency,Online,Cancellation Plan,0,19,MALAYSIA,10.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,32.5,8.13,M,29
EPX,Travel Agency,Online,Cancellation Plan,0,8,MALAYSIA,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,MALAYSIA,39.6,23.76,None,51
C2B,Airlines,Online,Silver Plan,0,6,SINGAPORE,29.5,7.38,M,42
EPX,Travel Agency,Online,Cancellation Plan,0,12,UNITED KINGDOM,28.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,46,UNITED STATES,75.0,0.0,None,29
JZI,Airlines,Online,Basic Plan,0,11,MALAYSIA,22.0,7.7,F,54
EPX,Travel Agency,Online,Cancellation Plan,0,94,UNITED STATES,55.0,0.0,None,27
EPX,Travel Agency,Online,Cancellation Plan,0,221,MONGOLIA,42.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,CHINA,24.0,0.0,None,36
KML,Travel Agency,Online,Premier Plan,0,13,INDONESIA,49.0,18.62,M,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,INDONESIA,31.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,34,THAILAND,20.0,0.0,None,57
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,ITALY,0.0,17.82,None,54
JZI,Airlines,Online,Basic Plan,0,33,HONG KONG,40.0,14.0,F,41
JZI,Airlines,Online,Basic Plan,0,6,MALAYSIA,18.0,6.3,F,50
C2B,Airlines,Online,Silver Plan,0,20,SINGAPORE,72.0,18.0,M,26
JZI,Airlines,Online,Basic Plan,0,12,INDONESIA,30.0,10.5,F,34
EPX,Travel Agency,Online,Cancellation Plan,0,64,AUSTRIA,58.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,60.75,15.19,M,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,22,UNITED STATES,69.3,41.58,None,61
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,MALAYSIA,29.7,17.82,None,61
EPX,Travel Agency,Online,Cancellation Plan,0,40,SINGAPORE,11.0,0.0,None,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,MYANMAR,20.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,1,32,SINGAPORE,53.5,13.38,M,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,THAILAND,22.0,0.0,None,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,131,GREECE,-9.9,5.94,None,25
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,44,THAILAND,0.0,29.7,None,53
EPX,Travel Agency,Online,Cancellation Plan,0,74,"TAIWAN, PROVINCE OF CHINA",36.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,161.0,40.25,M,33
EPX,Travel Agency,Online,Cancellation Plan,0,27,UNITED STATES,18.0,0.0,None,35
EPX,Travel Agency,Online,Cancellation Plan,0,29,CHINA,27.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,MALAYSIA,39.6,23.76,None,28
EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,15.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,17,THAILAND,22.0,7.7,F,59
C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,19.2,4.8,M,59
C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,13.5,3.38,F,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,CHINA,61.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,371,SINGAPORE,187.85,46.96,F,60
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,HONG KONG,44.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,135,INDIA,29.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,UNITED STATES,39.6,23.76,None,45
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,105,UNITED STATES,20.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,INDONESIA,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,120,SWITZERLAND,0.0,47.52,None,57
EPX,Travel Agency,Online,Cancellation Plan,0,82,INDONESIA,12.0,0.0,None,33
JZI,Airlines,Online,Basic Plan,0,11,CHINA,26.0,9.1,M,47
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,68,VIET NAM,0.0,0.0,None,74
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,UNITED STATES,112.0,0.0,None,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,JAPAN,31.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,37,SINGAPORE,10.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,16,PHILIPPINES,20.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,26,MALAYSIA,30.0,10.5,M,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,MYANMAR,34.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,21.0,5.25,M,36
JZI,Airlines,Online,Basic Plan,0,39,THAILAND,22.0,7.7,M,60
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,"KOREA, REPUBLIC OF",65.0,0.0,None,38
JZI,Airlines,Online,Basic Plan,0,26,INDIA,56.0,19.6,M,40
EPX,Travel Agency,Online,Cancellation Plan,0,14,GREECE,22.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,56,PHILIPPINES,29.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,8,INDONESIA,34.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,36,AUSTRALIA,59.4,35.64,None,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,101,MALAYSIA,10.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,11,CHINA,22.0,7.7,M,67
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,46,UNITED STATES,35.0,0.0,None,21
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,THAILAND,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,121,SINGAPORE,10.0,0.0,None,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,AUSTRALIA,59.4,35.64,None,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,25,AUSTRALIA,39.6,23.76,None,42
EPX,Travel Agency,Online,Cancellation Plan,0,63,HONG KONG,11.0,0.0,None,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,54,CANADA,112.0,0.0,None,37
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,THAILAND,24.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,VIET NAM,35.0,0.0,None,36
JWT,Airlines,Online,Value Plan,0,78,INDIA,180.0,72.0,M,118
EPX,Travel Agency,Online,Cancellation Plan,0,14,PHILIPPINES,35.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,38,CHINA,30.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,32,SINGAPORE,35.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,61,CHINA,21.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,17,SINGAPORE,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,48,SINGAPORE,60.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,8,VIET NAM,13.0,0.0,None,61
EPX,Travel Agency,Online,Cancellation Plan,0,30,JAPAN,50.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,33,UNITED STATES,10.0,0.0,None,33
EPX,Travel Agency,Online,Cancellation Plan,0,54,CANADA,10.0,0.0,None,20
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,94,AUSTRALIA,29.7,17.82,None,34
C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,252.85,63.21,M,38
EPX,Travel Agency,Online,Cancellation Plan,0,63,SINGAPORE,10.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,10,SINGAPORE,0.81,0.23,None,48
TST,Travel Agency,Offline,Travel Cruise Protect,0,74,MALAYSIA,30.0,10.5,F,71
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,45,THAILAND,21.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,12,INDIA,22.0,7.7,M,23
JZI,Airlines,Online,Value Plan,0,28,CANADA,55.0,19.25,M,23
EPX,Travel Agency,Online,Cancellation Plan,0,6,CHINA,11.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,76,AUSTRALIA,39.6,23.76,None,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,MALAYSIA,29.7,17.82,None,27
EPX,Travel Agency,Online,Cancellation Plan,0,31,UNITED STATES,10.0,0.0,None,49
EPX,Travel Agency,Online,Cancellation Plan,0,121,JAPAN,35.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,27.0,6.75,F,30
EPX,Travel Agency,Online,Cancellation Plan,0,2,SINGAPORE,10.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,16.0,4.0,F,30
EPX,Travel Agency,Online,Cancellation Plan,0,31,VIET NAM,80.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,17,CHINA,54.0,0.0,None,36
JWT,Airlines,Online,Value Plan,0,10,INDIA,31.0,12.4,M,118
C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,216.0,54.0,F,32
EPX,Travel Agency,Online,Cancellation Plan,0,2,VIET NAM,11.0,0.0,None,43
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,4,INDONESIA,20.0,0.0,None,26
EPX,Travel Agency,Online,Cancellation Plan,0,2,SINGAPORE,10.0,0.0,None,58
EPX,Travel Agency,Online,Cancellation Plan,0,16,MALAYSIA,0.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,THAILAND,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,REUNION,69.3,41.58,None,39
ART,Airlines,Online,24 Protect,0,7,THAILAND,19.88,6.96,M,48
EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,AUSTRALIA,39.6,23.76,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,26,"KOREA, REPUBLIC OF",50.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,183,"KOREA, REPUBLIC OF",0.0,0.0,None,36
C2B,Airlines,Online,Annual Gold Plan,0,368,SINGAPORE,278.85,69.71,F,38
TST,Travel Agency,Offline,Travel Cruise Protect,0,29,THAILAND,30.0,10.5,M,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,41,AUSTRALIA,79.2,47.52,None,34
EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,16.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,10.0,0.0,None,24
EPX,Travel Agency,Online,Cancellation Plan,0,9,SINGAPORE,46.0,0.0,None,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,48,UNITED STATES,-29.7,17.82,None,29
C2B,Airlines,Online,Bronze Plan,0,36,SINGAPORE,31.8,7.95,M,38
EPX,Travel Agency,Online,Cancellation Plan,0,62,CHINA,29.0,0.0,None,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,49,CHINA,81.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,44,INDIA,21.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,MALAYSIA,-29.7,17.82,None,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,42,UNITED KINGDOM,39.6,23.76,None,54
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,7,INDIA,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,27,UNITED STATES,59.4,35.64,None,31
C2B,Airlines,Online,Bronze Plan,0,104,SINGAPORE,13.5,3.38,M,32
EPX,Travel Agency,Online,Cancellation Plan,0,3,INDIA,16.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,153,INDONESIA,13.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,VIET NAM,27.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,60,AUSTRALIA,45.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,90,GERMANY,11.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,11,PHILIPPINES,30.0,10.5,M,31
JZI,Airlines,Online,Basic Plan,0,12,CHINA,35.0,12.25,M,52
EPX,Travel Agency,Online,Cancellation Plan,0,149,"KOREA, REPUBLIC OF",73.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,63,CANADA,20.0,0.0,None,22
EPX,Travel Agency,Online,Cancellation Plan,0,143,LAO PEOPLE'S DEMOCRATIC REPUBLIC,16.0,0.0,None,36
KML,Travel Agency,Online,Value Plan,0,99,NETHERLANDS,95.0,36.1,M,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,18,AUSTRALIA,39.6,23.76,None,29
C2B,Airlines,Online,Bronze Plan,0,14,SINGAPORE,16.0,4.0,F,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,MALAYSIA,49.5,29.7,None,30
EPX,Travel Agency,Online,Cancellation Plan,0,24,HUNGARY,80.0,0.0,None,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,80,THAILAND,70.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,145,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,17,SINGAPORE,63.5,15.88,F,31
EPX,Travel Agency,Online,Cancellation Plan,0,18,HONG KONG,10.0,0.0,None,20
C2B,Airlines,Online,Bronze Plan,0,43,SINGAPORE,21.0,5.25,F,40
C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,29.9,7.47,M,25
JZI,Airlines,Online,Basic Plan,0,95,INDONESIA,104.0,36.4,F,48
EPX,Travel Agency,Online,Cancellation Plan,0,3,MALAYSIA,12.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,50,INDONESIA,11.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,38,SOUTH AFRICA,0.0,41.58,None,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,25,AUSTRALIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,28,THAILAND,10.0,0.0,None,30
EPX,Travel Agency,Online,Cancellation Plan,0,23,JAPAN,37.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,21,INDONESIA,24.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,30,ITALY,18.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,16,THAILAND,10.0,0.0,None,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,SINGAPORE,20.0,0.0,None,28
EPX,Travel Agency,Online,Cancellation Plan,0,65,PHILIPPINES,15.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,AUSTRALIA,39.6,23.76,None,56
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,31,THAILAND,0.0,23.76,None,51
C2B,Airlines,Online,Gold Plan,0,4,SINGAPORE,46.15,11.54,F,55
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,70,AUSTRALIA,108.9,65.34,None,31
C2B,Airlines,Online,Bronze Plan,0,13,SINGAPORE,27.0,6.75,F,26
EPX,Travel Agency,Online,Cancellation Plan,0,151,UNITED STATES,14.0,0.0,None,26
EPX,Travel Agency,Online,Cancellation Plan,0,8,SINGAPORE,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,CHINA,38.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,11,THAILAND,22.0,7.7,F,37
EPX,Travel Agency,Online,Cancellation Plan,0,43,UNITED STATES,80.0,0.0,None,29
JZI,Airlines,Online,Basic Plan,0,9,MACAO,22.0,7.7,M,70
EPX,Travel Agency,Online,Cancellation Plan,0,25,PHILIPPINES,62.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,VIET NAM,35.0,0.0,None,42
EPX,Travel Agency,Online,Cancellation Plan,0,152,LITHUANIA,59.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,30,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,SWITZERLAND,79.2,47.52,None,30
JWT,Airlines,Online,Value Plan,0,5,INDIA,62.0,24.8,M,118
JZI,Airlines,Online,Basic Plan,0,0,THAILAND,18.0,6.3,None,118
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,49,NETHERLANDS,79.2,47.52,None,54
EPX,Travel Agency,Online,Cancellation Plan,0,20,HONG KONG,16.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,8,MACAO,26.0,9.1,M,57
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,INDONESIA,20.0,0.0,None,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,44,AUSTRALIA,79.2,47.52,None,57
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,AUSTRALIA,69.3,41.58,None,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,36,AUSTRALIA,29.7,17.82,None,36
C2B,Airlines,Online,Bronze Plan,1,22,SINGAPORE,69.5,17.38,F,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,THAILAND,41.0,0.0,None,49
EPX,Travel Agency,Online,Cancellation Plan,0,47,UNITED STATES,77.0,0.0,None,55
EPX,Travel Agency,Online,Cancellation Plan,0,64,INDONESIA,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,191,SINGAPORE,13.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,44,MALAYSIA,29.7,17.82,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,3,VIET NAM,41.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,15,AUSTRALIA,11.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,86,CHINA,44.0,15.4,M,43
JZI,Airlines,Online,Value Plan,0,48,AUSTRALIA,45.0,15.75,M,50
SSI,Airlines,Online,Ticket Protector,0,0,SINGAPORE,3.99,1.12,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,93,UNITED STATES,94.0,0.0,None,25
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,10,VIET NAM,20.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,95,SINGAPORE,49.5,12.38,F,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,64,CHINA,38.0,0.0,None,36
JZI,Airlines,Online,Value Plan,0,24,CHINA,58.0,20.3,F,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,VIET NAM,21.0,0.0,None,63
EPX,Travel Agency,Online,Cancellation Plan,0,42,UNITED ARAB EMIRATES,22.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,91,FRANCE,70.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,202.3,50.58,M,36
EPX,Travel Agency,Online,Cancellation Plan,0,42,UNITED STATES,58.0,0.0,None,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,1,UNITED KINGDOM,9.9,5.94,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,6,VIET NAM,20.0,0.0,None,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,33,AUSTRALIA,9.9,5.94,None,28
JZI,Airlines,Online,Basic Plan,0,72,CHINA,50.0,17.5,F,37
C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,13.5,3.38,F,27
EPX,Travel Agency,Online,Cancellation Plan,0,19,THAILAND,10.0,0.0,None,57
SSI,Airlines,Online,Ticket Protector,0,75,SINGAPORE,3.68,1.03,None,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,60,AUSTRALIA,29.7,17.82,None,31
JZI,Airlines,Online,Basic Plan,0,15,VIET NAM,22.0,7.7,M,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,33,HONG KONG,25.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,93,NEW ZEALAND,112.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,NEW ZEALAND,75.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,INDONESIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,INDONESIA,35.0,0.0,None,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,THAILAND,0.0,17.82,None,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,MALAYSIA,19.8,11.88,None,44
EPX,Travel Agency,Online,Cancellation Plan,0,3,INDIA,80.0,0.0,None,36
CSR,Travel Agency,Offline,Comprehensive Plan,0,237,MALAYSIA,29.0,9.57,F,70
EPX,Travel Agency,Online,Cancellation Plan,0,3,AUSTRALIA,13.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,392,SINGAPORE,0.0,63.21,M,41
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,MYANMAR,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,17,AUSTRALIA,0.0,35.64,None,44
EPX,Travel Agency,Online,Cancellation Plan,0,15,CHINA,31.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,HONG KONG,35.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,13,SINGAPORE,50.25,12.56,M,54
C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,27.0,6.75,F,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,54,"TAIWAN, PROVINCE OF CHINA",34.0,0.0,None,60
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,"TANZANIA, UNITED REPUBLIC OF",112.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,37,UNITED STATES,36.0,0.0,None,47
